k,BNF=1(kHz),BNF=2(kHz),BNF=3(kHz),BNF=4(kHz),BNF=5(kHz),BNF=6(kHz),BNF=7(kHz),BNF=8(kHz),BNF=9(kHz),BNF=10(kHz),BNF=11(kHz),BNF=12(kHz),BNF=13(kHz),BNF=14(kHz),BNF=15(kHz),BNF=16(kHz),BNF=17(kHz),BNF=18(kHz),BNF=19(kHz),BNF=20(kHz),BNF=21(kHz),BNF=22(kHz),BNF=23(kHz),BNF=24(kHz),BNF=25(kHz),BNF=26(kHz),VF(%),ASx(%),a(mm),ax(mm),ay(mm),az(mm),Band type,TPMS type,Solid Material,Medium,Shell thickness,t,CBG,BG exists?,Band Type
0,12.68604417,12.68630689,12.68635337,14.06588621,15.27196863,15.27260449,15.27268189,22.94668832,25.69327081,25.69350099,25.69392459,26.88822177,26.89032943,26.89040149,27.08183943,27.53479056,27.5351675,27.53662387,27.79798662,27.79804887,28.80418863,28.8043875,28.80458795,28.83943472,28.84302371,28.84319236,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.05,12.63878803,12.66870532,12.6689513,14.12144489,15.27119858,15.29699024,15.29710443,22.95169401,25.64907457,25.64936669,25.68750333,26.8825199,26.88263728,26.88799363,26.98373104,27.38648595,27.56742579,27.56779018,27.80983162,28.03657918,28.75040277,28.75063766,28.81981213,28.82006464,28.91944458,28.91964109,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.1,12.51445883,12.61870006,12.61893442,14.26985351,15.26864274,15.36827336,15.36837919,22.9666592,25.52473181,25.52499553,25.67024101,26.70345332,26.86239868,26.86252007,26.88715513,27.28691095,27.65250046,27.65284084,27.84489912,28.38317899,28.70332492,28.70357198,28.76231406,28.87140773,29.03513849,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.15,12.34617218,12.54141032,12.54162799,14.47835438,15.26445811,15.48102319,15.48111726,22.99142793,25.34004677,25.34027649,25.64288108,26.35041422,26.83478292,26.83492636,26.88579822,27.23255229,27.76334649,27.76368627,27.901925,28.67224682,28.67983824,28.68007045,28.70219405,28.98994423,29.17536922,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.2,12.15772585,12.44367208,12.44387074,14.72327118,15.25875902,15.6283922,15.62847608,23.02573899,25.11408496,25.11428374,25.60722073,25.97793786,26.8023392,26.80250219,26.88395019,27.18374711,27.87506279,27.8754317,27.97909416,28.55653355,28.6833277,28.68362794,28.89528138,29.26031121,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.25,11.96250642,12.33219731,12.33237661,14.99138383,15.25169865,15.80364626,15.80372556,23.06922352,24.86082656,24.86100007,25.56529218,25.59903519,26.7663441,26.76651999,26.88165841,27.1334011,27.96990953,27.97032235,28.07434979,28.42137067,28.71754654,28.71789248,29.0174893,29.52627556,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.3,11.76788377,12.21274963,12.21291042,15.24346476,15.2755306,16.00097884,16.00106131,23.12140067,24.58955461,24.58970849,25.21775142,25.51911207,26.72778764,26.72797077,26.87898203,27.08125267,28.03922039,28.03967171,28.18564506,28.27240202,28.78306433,28.78344266,29.13457472,29.7330377,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.35,11.57817794,12.08995198,12.09009568,15.23427368,15.57163656,16.21568876,16.2157816,23.18167021,24.3063746,24.3065138,24.83573985,25.4705194,26.68767315,26.68785961,26.87598972,27.0283773,28.08373134,28.08420547,28.11415441,28.31110077,28.87513962,28.87553161,29.25805094,29.95619568,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.4,11.3961515,11.96740552,11.96753378,15.22436365,15.87721553,16.44403929,16.44414774,23.24930094,24.0154458,24.01557455,24.45382293,25.42110921,26.64700195,26.6471892,26.87275766,26.97599036,27.95026597,28.10967932,28.11016296,28.44907453,28.9857823,28.98617429,29.38943288,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.45,11.22373285,11.84789816,11.84801267,15.21398778,16.19063958,16.68301795,16.6831456,23.32341274,23.71978071,23.71990275,24.07247982,25.37221762,26.60671306,26.60689952,26.86936737,26.92516086,27.78373878,28.12370629,28.12419253,28.59817391,29.10761772,29.1080002,29.52841202,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.5,11.062376,11.73360246,11.73370487,15.20340697,16.51077078,16.93009319,16.93024279,23.40292596,23.4217705,23.42187152,23.69202922,25.32494164,26.56764456,26.56782934,26.86590342,26.87676269,27.61715076,28.13062827,28.13111435,28.757235,29.23537361,29.23574605,29.67429154,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.55,10.91324606,11.62623273,11.62632462,15.19288307,16.8367655,17.18298932,17.18316344,23.1234114,23.12353612,23.31271009,23.48665847,25.2801711,26.53051965,26.53070225,26.83149064,26.86245183,27.45286159,28.13344941,28.13393446,28.92528892,29.36546888,29.36582773,29.82630191,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.6,10.77731767,11.52716035,11.52724321,15.18267235,17.16796376,17.43946532,17.43966685,22.82681047,22.82694266,22.93472308,23.57300168,25.23862262,26.49594822,26.49612846,26.78989281,26.85909652,27.29317771,28.13395671,28.13444062,29.10152471,29.4951951,29.49553986,29.98365246,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.65,10.65542755,11.43749516,11.43757041,15.1730196,17.50382131,17.697063,17.69729552,22.53421126,22.5343578,22.55825559,23.66014597,25.20087054,26.46443625,26.46461412,26.75239886,26.8559189,27.14049924,28.13321153,28.13369443,29.28525306,29.62212073,29.62245162,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.7,10.54830203,11.35814169,11.35821066,15.1641528,17.84386136,17.95276705,17.95303519,22.1835024,22.24846746,22.24863545,23.74586411,25.16737292,26.43639785,26.43657348,26.71934566,26.85299488,26.99745081,28.13185595,28.132338,29.47586996,29.74368018,29.74399406,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.75,10.45657014,11.28983737,11.28990129,15.15627849,18.18762838,18.20248221,18.20279226,21.8106973,21.97353676,21.97373522,23.82748023,25.13849254,26.4121674,26.41234098,26.69099614,26.8503855,26.8669971,28.1302884,28.13076978,29.67281384,29.8569123,29.85721553,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.8,10.38076857,11.23317824,11.23323824,15.1495778,18.44017409,18.4405326,18.53462025,21.44016762,21.71534215,21.71558087,23.90184391,25.11451331,26.39201033,26.39218212,26.66755369,26.75245347,26.84818278,28.12876245,28.1292433,29.87549582,29.95835137,29.95862705,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.85,10.32134187,11.18863597,11.18869308,15.14420323,18.65647847,18.65689368,18.88411478,21.07249855,21.48315997,21.48344889,23.96539872,25.09565281,26.3761322,26.37630249,26.64917246,26.65754632,26.84640323,28.12744233,28.12792279,30.0439306,30.04420799,30.0831341,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.9,10.27864041,11.15656886,11.156624,15.14027601,18.83681611,18.8372922,19.23454691,20.7091544,21.29150676,21.2918521,24.01442258,25.08207161,26.36468584,26.36485494,26.58607195,26.63596705,26.84510228,28.12643448,28.12691467,30.10939437,30.10966192,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
0.95,10.25291735,11.13722884,11.13728283,15.1378841,18.96044598,18.96097448,19.57950043,20.3564812,21.16108993,21.16148506,24.04549718,25.07387998,26.35777677,26.35794509,26.54150696,26.62801341,26.84430957,28.12580546,28.12628549,30.15067404,30.15094759,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
1,10.24432589,11.13076561,11.13081923,15.13708084,19.00512607,19.00567637,19.82548609,20.10792686,21.11414621,21.11456228,24.05615735,25.07114237,26.35546694,26.35563497,26.52634675,26.62535726,26.84404329,28.12559189,28.12607187,30.16480225,30.16506273,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
1.05,10.05476677,11.14666872,11.29405479,15.17224067,18.92685735,19.0144657,19.90651017,20.06940396,21.11812897,21.14895889,24.06847397,24.95824341,26.20206101,26.26741162,26.52354266,26.73607081,27.0136564,28.16312877,28.17399883,29.92798151,30.11395152,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
1.1,9.665815776,11.19409128,11.60469025,15.2771124,18.74678959,19.04181933,19.96709079,20.09371771,21.12920304,21.23930607,24.10547506,24.66581351,25.9507952,26.13422716,26.47397287,26.9113935,27.34203168,28.27608623,28.30791311,29.53199139,29.97989124,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
1.15,9.212224135,11.27267909,11.92975072,15.4495613,18.52964421,19.08729691,19.82492371,20.32242012,21.14737923,21.36024049,24.16729464,24.27302448,25.6767441,26.00879992,26.40150726,27.07662845,27.68449879,28.47417382,28.50241494,29.11140242,29.79459422,,,,,,24,100,20,20,20,20,acoustic,Schwarz-P,Polymer,Air,Nan,-1.2,0.000262723,no,Acoustic
